Date;ETH;BTC;XRP;LTC;XLM
2016-01-01;0.948024;434.33;0.005955;3.51;0.001748
2016-01-02;0.937124;433.44;0.006065;3.5;0.001741
2016-01-03;0.971905;430.01;0.006017;3.48;0.001744
2016-01-04;0.95448;433.09;0.005958;3.5;0.001748
2016-01-05;0.950176;431.96;0.006044;3.47;0.001721
2016-01-06;0.95086;429.11;0.006003;3.45;0.001672
2016-01-07;0.942005;458.05;0.006039;3.6;0.001728
2016-01-08;0.986789;453.23;0.005933;3.57;0.001681
2016-01-09;0.986833;447.61;0.005982;3.56;0.001749
2016-01-10;0.999231;447.99;0.005956;3.54;0.001765
2016-01-11;1.06;448.43;0.005895;3.56;0.001739
2016-01-12;1.14;435.69;0.005854;3.49;0.001743
2016-01-13;1.13;432.37;0.005794;3.48;0.001824
2016-01-14;1.19;430.31;0.005529;3.47;0.001914
2016-01-15;1.21;364.33;0.005229;3;0.001737
2016-01-16;1.22;387.54;0.005112;3.09;0.001748
2016-01-17;1.33;382.3;0.005266;3.03;0.001714
2016-01-18;1.43;387.17;0.005326;3.05;0.001711
2016-01-19;1.37;380.15;0.005271;3.02;0.001826
2016-01-20;1.53;420.23;0.005381;3.39;0.001821
2016-01-21;1.55;410.26;0.005313;3.22;0.001738
2016-01-22;1.5;382.49;0.005114;3.08;0.001704
2016-01-23;1.97;387.49;0.00512;3.1;0.001696
2016-01-24;2.14;402.97;0.005219;3.18;0.001723
2016-01-25;2.5;391.73;0.005135;3.13;0.001709
2016-01-26;2.28;392.15;0.005419;3.15;0.001901
2016-01-27;2.39;394.97;0.006506;3.29;0.002235
2016-01-28;2.53;380.29;0.006226;3.12;0.001908
2016-01-29;2.49;379.47;0.00684;3.11;0.001888
2016-01-30;2.45;378.26;0.006634;3.08;0.001735
2016-01-31;2.31;368.77;0.006399;3.05;0.001776
2016-02-01;2.21;373.06;0.006542;3.08;0.001792
2016-02-02;2.44;374.45;0.006768;3.08;0.001796
2016-02-03;2.53;369.95;0.006883;3.05;0.001807
2016-02-04;2.58;389.59;0.00697;3.16;0.001803
2016-02-05;2.54;386.55;0.007262;3.14;0.001834
2016-02-06;2.53;376.52;0.007922;3.1;0.001864
2016-02-07;2.96;376.62;0.008338;3.09;0.001852
2016-02-08;3.18;373.45;0.007991;3.06;0.001841
2016-02-09;4.04;376.03;0.007815;3.08;0.001826
2016-02-10;4.44;381.65;0.007853;3.1;0.001849
2016-02-11;6.01;379.65;0.007815;3.08;0.001878
2016-02-12;5.55;384.26;0.007979;3.11;0.002344
2016-02-13;5.39;391.86;0.008257;3.13;0.002203
2016-02-14;5.24;407.23;0.00859;3.21;0.00219
2016-02-15;5.29;400.18;0.008631;3.18;0.002203
2016-02-16;4.32;407.49;0.008451;3.21;0.002649
2016-02-17;3.76;416.32;0.008138;3.24;0.002158
2016-02-18;4.4;422.37;0.007995;3.25;0.002122
2016-02-19;4.74;420.79;0.008245;3.25;0.00211
2016-02-20;4.34;437.16;0.008253;3.46;0.002101
2016-02-21;4.65;438.8;0.0081;3.46;0.002157
2016-02-22;5.62;437.75;0.00805;3.48;0.001976
2016-02-23;5.59;420.74;0.00797;3.4;0.001903
2016-02-24;6.24;424.95;0.008076;3.37;0.001959
2016-02-25;6.1;424.54;0.008027;3.37;0.001975
2016-02-26;5.92;432.15;0.008058;3.42;0.001943
2016-02-27;6.43;432.52;0.007972;3.41;0.002003
2016-02-28;6.47;433.5;0.007889;3.44;0.001981
2016-02-29;6.34;437.7;0.007923;3.45;0.001949
2016-03-01;7.65;435.12;0.008006;3.43;0.001909
2016-03-02;8.47;423.99;0.00803;3.37;0.001884
2016-03-03;9.29;421.65;0.008162;3.32;0.00189
2016-03-04;10.41;410.94;0.008096;3.25;0.001914
2016-03-05;11;400.57;0.007878;3.19;0.001824
2016-03-06;11.38;407.71;0.00786;3.22;0.001938
2016-03-07;9.55;414.32;0.007918;3.27;0.002392
2016-03-08;9.85;413.97;0.007949;3.25;0.002216
2016-03-09;11.9;414.86;0.008056;3.28;0.002229
2016-03-10;11.31;417.13;0.00819;3.29;0.002368
2016-03-11;11.08;421.69;0.008803;3.38;0.002567
2016-03-12;13.53;411.62;0.0087;3.29;0.00227
2016-03-13;14.48;414.07;0.008635;3.31;0.002177
2016-03-14;12.45;416.44;0.008479;3.3;0.002138
2016-03-15;13.01;416.83;0.008186;3.31;0.002193
2016-03-16;12.52;417.01;0.008178;3.31;0.002136
